1 啊！老师，多么神圣的职务啊;啊！老师，多么的刻敬职守啊
1 啊！老师，多么的刻敬职守啊;啊！老师，你是我们心目中的真正的天使。
1 花从春走过，留下缕缕花香;叶从夏走过，留下片片荫凉
1 叶从夏走过，留下片片荫凉;风从秋走过，留下阵阵金浪
1 风从秋走过，留下阵阵金浪;雪从冬走过，留下种种希望。
1 暗黄的石块，裸露全身，在马路边打滚;褐黄的苇叶，只剩半截，在水沟里挣扎
1 褐黄的苇叶，只剩半截，在水沟里挣扎;青黄的杂草，孤苦伶仃，在园子里寂寞
1 青黄的杂草，孤苦伶仃，在园子里寂寞;枯黄的树干，脱光叶子，在桥两端打颤
1 枯黄的树干，脱光叶子，在桥两端打颤;橙黄的街灯，犹犹豫豫，在街道旁等待。
1 爱心是一片照射在冬日的阳光，使贫病交迫的人感到人间的温暖;爱心是一泓出现在沙漠里的泉水，使濒临绝境的人重新看到生活的希望
1 爱心是一泓出现在沙漠里的泉水，使濒临绝境的人重新看到生活的希望;爱心是一首飘荡在夜空的歌谣，使孤苦无依的人获得心灵的慰藉。
1 爱心是一股甜甜的泉水，使不幸的人忘记生活的苦涩;爱心是一首动听的歌谣，使生活枯燥的人感到生活的乐趣
1 爱心是一首动听的歌谣，使生活枯燥的人感到生活的乐趣;爱心是一眼潺潺流动的泉水，使饥渴的行人感到人生旅途的甘甜
1 爱心是一眼潺潺流动的泉水，使饥渴的行人感到人生旅途的甘甜;爱心是一首优扬动听的歌谣，使踽踽独行的人感到人生的美好
1 爱心是一首优扬动听的歌谣，使踽踽独行的人感到人生的美好;爱心是一股流淌在心头的泉水，使沉浸在痛苦中的人们感到人间的甘甜
1 爱心是一股流淌在心头的泉水，使沉浸在痛苦中的人们感到人间的甘甜;爱心是一曲回荡在耳边的歌谣，使孤独的人们感到人间的温暧
1 爱心是一曲回荡在耳边的歌谣，使孤独的人们感到人间的温暧;爱心是一股撞开冰闸的春水，使铁石心肠受到震撼
1 爱心是一股撞开冰闸的春水，使铁石心肠受到震撼;爱心是一座亮在黑夜的灯塔，使迷途航船找到港湾
1 爱心是一座亮在黑夜的灯塔，使迷途航船找到港湾;爱心是一瓢纷洒在春天的小雨，使落寞孤寂的人享受心灵的滋润
1 爱心是一瓢纷洒在春天的小雨，使落寞孤寂的人享受心灵的滋润;爱心是一泪流淌在夏夜的清泉，使燥热不寐的人领略诗般的恬静
1 爱心是一泪流淌在夏夜的清泉，使燥热不寐的人领略诗般的恬静;爱心是一柄撑起在雨夜的小伞，使漂泊异乡的人得到亲情的荫庇
1 爱心是一柄撑起在雨夜的小伞，使漂泊异乡的人得到亲情的荫庇;爱心是一道飞架在天边的彩虹，使满目阴霾的人见到世界的美丽
1 爱心是一道飞架在天边的彩虹，使满目阴霾的人见到世界的美丽;爱心是一杯泼洒在头顶的冰水，使高热发昏的人得能冷静地思索
1 爱心是一杯泼洒在头顶的冰水，使高热发昏的人得能冷静地思索;爱心是一块衔含在嘴里的奶糖，使久饮黄连的人尝到生活的甘甜。
1 爱情是一座辉煌的大厦，离不开忠贞构筑的地基;爱情是一朵绚丽的鲜花，离不开信任培植的沃土
1 爱情是一朵绚丽的鲜花，离不开信任培植的沃土;爱情是一杯美味香浓的咖啡，离不开剩余咖啡渣的咖啡杯。
1 爱情是一点巧遇;爱情是一点动心
1 爱情是一点动心;爱情是一种默契
1 爱情是一种默契;爱情是一种执著
1 爱情是一种执著;爱情是一种忠诚
1 爱情是一种忠诚;爱情是一种守望
1 爱情是一种守望;爱情是一份信仰。
1 爱情是笔记，记载着我们的点点滴滴;爱情是场梦，可有些人却总睡过了头
1 爱情是场梦，可有些人却总睡过了头;爱情是一场雨呵，在秃顶的山顶萌动。
1 爱是一幅山水画，洗去铅华雕饰，留下清新自然;爱是一首深情的歌，婉转悠扬，轻吟浅唱
1 爱是一首深情的歌，婉转悠扬，轻吟浅唱;爱是一阵和煦的风，吹去朔雪纷飞，带来春光无限。
1 爱是黑夜里的星光，照亮了黯淡的生命;爱是酷暑里的清泉，滋润干涸了的灵魂
1 爱是酷暑里的清泉，滋润干涸了的灵魂;爱是蓝天上的彩虹，装点了苍白的青春。
1 爱像温暖的春风，吹开你冰冷的心扉;爱像凉爽的海风，吹开你紧锁的眉头
1 爱像凉爽的海风，吹开你紧锁的眉头;爱像冬天的阳光，温暖你暗淡的生活。
1 爱是小雨淅淅沥沥，润物细无声地滋润着禾苗;爱是母亲叮叮咛咛，意恐迟迟归地牵挂着游子
1 爱是母亲叮叮咛咛，意恐迟迟归地牵挂着游子;爱是泉水叮叮咚咚，无声惜细流地流淌着希望
1 爱是泉水叮叮咚咚，无声惜细流地流淌着希望;爱是鸟儿唧唧喳喳，时鸣春涧中地呼唤着春天
1 爱是鸟儿唧唧喳喳，时鸣春涧中地呼唤着春天;爱是风儿缠缠绵绵，春风吹又生地诉说着轮回。
1 爱似一汪清水，清澈而洁净;爱似一杯酒，淡淡的，却又醇醇的。
1 把街道打扫得干干净净，这是清洁工人的责任;教育好学生，这是老师的责任
1 教育好学生，这是老师的责任;医治好病者，这是医生的责任
1 医治好病者，这是医生的责任;带领村民脱贫致富，这是村长的责任
1 带领村民脱贫致富，这是村长的责任;管理好一个企业，这是厂长的责任。
1 不断的追求，就能发现我们从未发觉的;不断的追求，就能驱使我们渐行渐远
1 不断的追求，就能驱使我们渐行渐远;不断的追求，就能达到我们未知的领域。
1 从秋叶的飘零中，我们读出了季节的变换;从归雁的行列中，我读出了集体的力量
1 从归雁的行列中，我读出了集体的力量;从冰雪的消融中，我们读出了春天的脚步
